Index SKU,Facility,Penalty Cost
67005400,MX,16.029
504606X,MX,5.928
533552,MX,6.253
533533A,MX,6.786
67003700,MX,15.964
534524T,MX,7.306
67208225,MX,45.227
67230100,MX,36.777
4400802S,MX,52.611
67005400,GDRC,16.029
504606X,GDRC,5.928
533552,GDRC,6.253
533533A,GDRC,6.786
67003700,GDRC,15.964
534524T,GDRC,7.306
67208225,GDRC,45.227
67230100,GDRC,36.777
4400802S,GDRC,52.611
67005400,EMEA,16.029
504606X,EMEA,5.928
533552,EMEA,6.253
533533A,EMEA,6.786
67003700,EMEA,15.964
534524T,EMEA,7.306
67208225,EMEA,45.227
67230100,EMEA,36.777
4400802S,EMEA,52.611
