Index SKU,Facility,Std Cost
67005400,MX,13.25
504606X,MX,4.77
533552,MX,4.94
533533A,MX,5.13
67003700,MX,13.2
534524T,MX,5.52
67208225,MX,46.81
67230100,MX,38.26
4400802S,MX,42.19
67005400,GDRC,13.25
504606X,GDRC,4.77
533552,GDRC,4.94
533533A,GDRC,5.13
67003700,GDRC,13.2
534524T,GDRC,5.52
67208225,GDRC,46.81
67230100,GDRC,38.26
4400802S,GDRC,42.19
67005400,EMEA,12.33
504606X,EMEA,4.56
533552,EMEA,4.81
533533A,EMEA,5.22
67003700,EMEA,12.28
534524T,EMEA,5.62
67208225,EMEA,34.79
67230100,EMEA,28.29
4400802S,EMEA,40.47
